Author,Journal,Journal_type,Pub.year,Title,Abstract,Survey,Experiment,Qualitative,Intersectionality,Environments,Black,Black_immigrants,Asian,Latinx,Whites,Others,Cross-national,Cross-regional
Evelyn M. Simien,Journal of Black Studies,Ethnic studies,2005,"Race, Gender, and Linked Fate","For African Americans, linked fate is the recognition that individual life chances are inextricably tied to the race as a whole. Using data from the 1996 National Black Election Study, the author empirically tested two competing hypotheses about the effect of gender identification on race identification as measured by linked fate. One hypothesis suggests that Black women who identify strongly with their gender will report a lower sense of race identification. The other suggests that Black women who identify strongly with their gender will report a higher sense of race identification. This research is important because it is the first to extend the application of the linked fate model used to measure race identification to the case in which gender matters. By so doing, this study demonstrates the importance of theorizing gender as opposed to simply adding the variable (gender) to a regression model and controlling for its effects statistically.",1,0,0,1,0,1,0,0,0,0,0,0,0
"Gabriel R. Sanchez, Natalie Masuoka",Hispanic Journal of Behavioral Sciences,Behavior,2010,Brown-Utility Heuristic? The Presence and Contributing Factors of Latino Linked Fate,"In an electoral system governed by the plurality rule, those groups who wield the greatest amount of power in the United States are those who vote as a cohesive bloc. Although the size of the Latino population is growing, it is unclear whether all Latinos perceive a shared collective identity that will be exercised in the political realm. This study uses the Latino National Survey, a nationally representative telephone survey of 8,600 Latino adults, to examine how individual Latinos perceive their personal fates and the fate of their national origin group with the larger panethnic community. The authors utilize ordered logistic regression analysis to test their hypotheses regarding the impact of immigration experiences, race, and socioeconomic status on Latino linked fate. Results suggest that linked fate for Latinos may be a temporary phenomenon, as linked fate for Latinos appears to be based on marginalization derived from economic status and immigration experiences.",1,0,0,1,0,0,0,0,1,0,0,0,0
"Gabriel R. Sanchez, Edward D. Vargas",Political Research Quarterly,General political science,2016,Taking a Closer Look at Group Identity: The Link between Theory and Measurement of Group Consciousness and Linked Fate,"Scholarship in the area of group identity has expanded our understanding of how group consciousness and linked fate operate among racial and ethnic minority populations in the United States. What is yet to be tested is whether the measures employed adequately capture the multidimensional theoretical constructs associated with group consciousness across racial and ethnic populations. To address this question, we make use of the 2004 National Political Study (N = 3,339) and apply principal components analysis and exploratory factor analysis to assess whether measures used for both group consciousness and linked fate are interchangeable, as well as whether these measures are directly comparable across racial and ethnic populations. We find that the multidimensional approach to measuring group consciousness is a sound strategy when applied to African Americans, as the dimensions fit the African American experience more powerfully than is the case for non-Hispanic whites, Hispanics, and Asian populations. Our analysis suggests that scholars interested in exploring group identity among the African American population have fewer analytical concerns in this regard than those working with other populations where the underlying components associated with group consciousness appear to be operating differently.",1,0,0,0,0,1,0,1,1,1,0,0,0
"Claudine Gay, Jennifer Hochschild, Ariel White","Journal of Race, Ethnicity, and Politics",REP,2016,Americans' Belief in Linked Fate: Does the Measure Capture the Concept?,"For decades, scholars have attributed Black Americans' unified political and policy views, despite growing internal class and status differences, to a strong perception of linked fate. In recent years, the concept has been measured in other racial and ethnic groups and with regard to gender, but not applied to social statuses such as class or religion. Without broad comparisons across groups and different statuses, however, one cannot determine the appropriate empirical test or most distinctive correlates of this canonical construct. Using a new national survey, we examine Americans' views of linked fate by race or ethnicity, and also by gender, class, or religion. We find expressions of linked fate to be similar across racial or ethnic groups, robust to experimental manipulation, and as strong for class as for racial or ethnic identity. Intra-individual correlations on linked fate items are very high, while a sense of linked fate is rarely associated with political views or political participation. Expressions of linked fate are not always closely related to feelings of closeness to one's group or perceptions of discrimination against that group. We speculate on the broader meaning of responses to this standard item, and conclude that the enormously fruitful theory of racial linked fate is due for further conceptual development and empirical experimentation.",1,1,0,1,0,1,0,1,1,1,0,0,0
Shayla C. Nunnally,Du Bois Review,REP,2010,LINKING BLACKNESS OR ETHNIC OTHERING?: African Americans' Diasporic Linked Fate with West Indian and African Peoples in the United States,"Dawson (1994) submits Black linked fate is a major predictor of Black political behavior. This theory conjectures that the experiences of African Americans with race and racial discrimination in the United States unify their personal interests under a rubric of interests that are best for the Black racial group. With increasing Black ethnic diversity in the United States, however, it becomes important to ascertain how African Americans perceive linkages across Black ethnic groups. This study examines African Americans' linkages with West Indian and African peoples in the United States, referred to here as diasporic linked fate. The study tests the influence of parent-child, intra-racial socialization messages on these linkages. Results suggest that, while a majority of African Americans acknowledge Black linked fate, they distinguish these linkages based on ethnicity and have more tenuous linkages with West Indians and Africans in the United States. While intra-racial socialization messages offer some import in explaining perceived differences in Black ethnic groups' living experiences, more frequent experiences with racial discrimination, and membership in a Black organization offer more import in explaining diasporic linked fate.",1,0,0,0,0,1,0,0,0,0,0,0,0
"Edward D. Vargas, Gabriel R. Sanchez, Juan A. Valdez","Journal of Race, Ethnicity, and Politics",REP,2017,Immigration Policies and Group Identity: How Immigrant Laws Affect Linked Fate among U.S. Latino Populations,"Immigrant sentiment, measured by the number of state laws enacted to curb the flow of undocumented immigration or expand rights to immigrants, have been on a steady incline since September 11, 2001. Despite the increased attention to unauthorized immigration, little research has examined how immigrant policies are affecting group identity (i.e., linked fate). Linked fate is a form of collective group identity that develops when a group of people experience discrimination and marginalization. Using a unique database that merges the 2012 Collaborative Multiracial Post-Election Survey (n = 934 Latinos) with the sum of state-level immigration policies enacted from 2005 to 2012, this study is the first to examine the direct relationship between immigrant climate and linked fate. Results from our multinomial logistic regressions indicate that the linked fate among Latinos increases as the number of punitive immigration laws in a state increases, controlling for a vector of control variables. Consistent with our theory regarding differential impact, our findings also suggest that immigration laws have a more pronounced influence on the linked fate of foreign-born Latinos.",1,0,0,1,0,0,0,0,1,0,0,0,0
"Christopher T. Stout, Kelsy Kretschmer, Leah Ruppanner",Political Research Quarterly,General political science,2017,"Gender Linked Fate, Race/Ethnicity, and the Marriage Gap in American Politics","In this study, we explore the predictors of gender linked fate with a focus on marital status for different racial/ethnic groups. We argue that marriage alters women’s perceptions of self-interest by institutionalizing their partnerships with men and consequently leading women to feel less connected to other women. We assess our hypothesis using the 2012 American National Election Study. While we find that married white women and Latinas have significantly lower levels of linked fate than unmarried women of the same race/ethnicity, we find no such relationship for black women. We then explore the implications of these findings by examining the role of gender linked fate in explaining political differences among married and unmarried women using mediation analysis. Ultimately, we find that differences in perceptions of linked fate explain a significant amount of the variation in political ideology and partisanship for white and Latina women.",1,0,0,1,0,1,0,0,1,1,0,0,0
Deborah J. Schildkraut,"Politics, Groups, and Identities ",REP,2017,"White attitudes about descriptive representation in the US: the roles of identity, discrimination, and linked fate","Many white Americans feel that whites are discriminated against, identify as white, and feel a sense of linked fate with whites. Scholars have studied these psychological connections to one's racial group among nonwhites, but little attention in political science has been given to how they operate among whites. However, changing social, demographic, and electoral patterns point to inevitable challenges to their traditional status and power. This study examines the extent to which these psychological connections to whites as a group exist and shape how whites feel about descriptive representation. Using a nationally representative survey, it finds that identifying as white, thinking whites are discriminated against, and seeing one's fate as tied to the fate of whites overall are common and make it more likely that whites will say it is important to have a political candidate who is white. These findings reveal a striking similarity in how whites and nonwhites form attitudes about descriptive representation. The implications of these findings given ongoing social and political trends are discussed.",1,0,0,0,0,0,0,0,0,1,0,0,0
"Jon Hurwitz, Mark Pefflet, Jeffrey Mondak",Political Research Quarterly,General political science,2015,"Linked Fate and Outgroup Perceptions: Blacks, Latinos, and the U.S. Criminal Justice System","Studies focusing on black–Latino intergroup perceptions in zero-sum environments (e.g., jobs) have found little perceived outgroup discrimination or a tendency for each group to perceive the injustices faced by the other group. In contrast, we examine the non-zero-sum criminal justice domain. Although we find some asymmetry—that is, blacks are somewhat more likely to see discrimination toward Latinos than vice-versa, we mainly find both groups acknowledge the discrimination faced by the other disadvantaged group, especially those who feel closely linked to the fate of their own group. Under such circumstances, blacks and Latinos recognize a common sense of deprivation and discrimination and are likely to regard the other group as facing comparable victimization, potentially seeing the other group as a coalition partner for remediating mutual concerns.",1,0,0,0,0,1,0,0,1,0,0,0,0
Claudine Gay,American Political Science Review,General political science,2004,Putting Race in Context: Identifying the Environmental Determinants of Black Racial Attitudes,"Prior research on the contextual determinants of black racial attitudes has focused on the effects of residential segregation while overlooking differences in the socioeconomic character of neighborhoods. I posit that socioeconomic environments, in particular, the quality and socioeconomic composition of neighborhoods, may affect whether blacks view race as a defining interest in their lives. I test these propositions with a multilevel dataset that merges the 1992–1994 Multi-City Survey of Urban Inequality with block-group–level demographic statistics from the 1990 Census. The results indicate that neighborhood quality and neighborhood socioeconomic composition work at cross-purposes in affecting black racial attitudes. The salience of race recedes with improvements in neighborhood quality yet advances with greater exposure to the race-oriented predispositions of high-status blacks. In closing, I discuss the implications of shifting residential patterns for the future of political consensus and group-based mobilization among African Americans.",1,0,0,0,1,1,0,0,0,0,0,0,1
